Age,Income,Education Level,Purchase Frequency,Spending per Purchase
25,65000.0,bachelors,3,150.5
42,92000.0,Master's,2,280.2
38,78000.0,bachelors,4,120.8
55,110000.0,PhD,1,350.7
19,32000.0,High School,5,80.4
60,130000.0,Master's,0,420.9
31,54000.0,bachelors,6,95.3
48,105000.0,PhD,2,310.6
22,45000.0,High School,7,75.2
51,125000.0,Master's,1,380.5
29,70000.0,bachelors,3,180.4
37,85000.0,Master's,5,105.7
58,140000.0,PhD,0,450.8
18,25000.0,High School,8,60.3
63,135000.0,Master's,2,390.7
34,60000.0,bachelors,4,140.6
45,98000.0,PhD,1,330.9
27,50000.0,High School,6,85.5
53,115000.0,Master's,3,290.4
20,38000.0,High School,9,55.1
62,145000.0,PhD,0,480.9
33,58000.0,bachelors,5,130.7
47,102000.0,Master's,2,320.8
24,48000.0,High School,7,70.3
50,120000.0,PhD,1,370.6
28,68000.0,bachelors,4,170.5
36,82000.0,Master's,6,100.9
59,138000.0,PhD,2,400.8
21,42000.0,High School,8,65.4
64,150000.0,Master's,1,410.7
30,56000.0,bachelors,3,160.6
43,95000.0,PhD,0,440.9
26,49000.0,High School,5,85.6
52,118000.0,Master's,2,300.5
23,46000.0,High School,7,75.3
49,108000.0,PhD,1,340.7
35,62000.0,bachelors,4,150.7
40,88000.0,Master's,6,110.8
57,136000.0,PhD,2,360.9
18,28000.0,High School,8,50.2
61,142000.0,Master's,1,430.8
32,57000.0,bachelors,3,170.7
46,100000.0,PhD,0,300.9
25,51000.0,High School,5,90.7
54,122000.0,Master's,2,380.6
22,43000.0,High School,7,65.5
48,112000.0,PhD,1,350.8
39,75000.0,bachelors,4,110.9
41,90000.0,Master's,6,120.7
56,132000.0,PhD,2,470.9
19,30000.0,High School,8,55.3
65,148000.0,Master's,1,400.6
31,67000.0,bachelors,3,130.8
44,97000.0,PhD,0,460.9
27,47000.0,High School,5,70.4
53,128000.0,Master's,2,290.7
20,40000.0,High School,7,60.6
55,117000.0,PhD,1,360.5
38,72000.0,bachelors,4,100.7
42,93000.0,Master's,6,130.6
58,144000.0,PhD,2,490.9
21,35000.0,High School,8,65.7
63,137000.0,Master's,1,420.5
34,65000.0,bachelors,3,160.8
45,103000.0,PhD,0,310.9
24,52000.0,High School,5,95.8
51,123000.0,Master's,2,390.4
23,44000.0,High School,7,60.7
50,114000.0,PhD,1,370.7
36,77000.0,bachelors,4,120.6
43,94000.0,Master's,6,140.5
59,146000.0,PhD,2,450.8
18,33000.0,High School,8,55.4
62,149000.0,Master's,1,410.5
33,63000.0,bachelors,3,150.9
47,101000.0,PhD,0,320.8
26,46000.0,High School,5,75.5
52,127000.0,Master's,2,280.6
20,39000.0,High School,7,55.6
54,121000.0,PhD,1,380.8
37,74000.0,bachelors,4,110.7
40,89000.0,Master's,6,120.8
57,134000.0,PhD,2,480.9
19,29000.0,High School,8,50.3
61,143000.0,Master's,1,440.7
32,66000.0,bachelors,3,160.9
46,99000.0,PhD,0,330.8
25,53000.0,High School,5,95.9
53,124000.0,Master's,2,370.5
22,41000.0,High School,7,60.8
49,110000.0,PhD,1,340.6
35,76000.0,bachelors,4,120.5
41,91000.0,Master's,6,130.7
56,133000.0,PhD,2,470.8
18,31000.0,High School,8,55.5
65,147000.0,Master's,1,400.7
31,69000.0,bachelors,3,130.9
44,96000.0,PhD,0,490.8
27,45000.0,High School,5,70.5
52,129000.0,Master's,2,290.8
20,37000.0,High School,7,55.7
55,116000.0,PhD,1,360.6
38,73000.0,bachelors,4,100.8
42,92000.0,Master's,6,130.5
58,145000.0,PhD,2,460.7
21,36000.0,High School,8,65.8
63,139000.0,Master's,1,420.6
34,64000.0,bachelors,3,160.7
45,104000.0,PhD,0,310.8
24,50000.0,High School,5,90.9
51,126000.0,Master's,2,380.7
23,42000.0,High School,7,60.9
48,113000.0,PhD,1,350.9
39,78000.0,bachelors,4,120.4
41,93000.0,Master's,6,140.6
56,131000.0,PhD,2,470.7
19,32000.0,High School,8,55.6
64,146000.0,Master's,1,400.8
30,71000.0,bachelors,3,130.7
44,95000.0,PhD,0,460.8
27,48000.0,High School,5,70.6
53,127000.0,Master's,2,290.9
20,36000.0,High School,7,55.8
54,120000.0,PhD,1,380.9
37,70000.0,bachelors,4,110.8
40,87000.0,Master's,6,120.9
57,135000.0,PhD,2,480.8
18,27000.0,High School,8,50.4
61,144000.0,Master's,1,440.8
32,68000.0,bachelors,3,160.8
46,98000.0,PhD,0,330.9
25,55000.0,High School,5,96.0
52,125000.0,Master's,2,370.6
22,40000.0,High School,7,61.0
49,111000.0,PhD,1,340.5
35,79000.0,bachelors,4,120.3
41,94000.0,Master's,6,140.7
56,130000.0,PhD,2,470.6
19,34000.0,High School,8,55.7
65,145000.0,Master's,1,400.9
31,66000.0,bachelors,3,130.6
44,97000.0,PhD,0,490.9
27,49000.0,High School,5,70.7
53,126000.0,Master's,2,290.6
20,35000.0,High School,7,55.9
55,119000.0,PhD,1,360.7
38,71000.0,bachelors,4,100.9
42,91000.0,Master's,6,130.4
58,147000.0,PhD,2,460.6
21,38000.0,High School,8,65.9
63,141000.0,Master's,1,420.7
34,63000.0,bachelors,3,160.6
45,106000.0,PhD,0,310.7
24,54000.0,High School,5,96.1
51,122000.0,Master's,2,380.8
23,43000.0,High School,7,61.1
50,115000.0,PhD,1,370.8
36,80000.0,bachelors,4,120.2
43,96000.0,Master's,6,140.8
59,148000.0,PhD,2,450.7
18,30000.0,High School,8,55.8
62,150000.0,Master's,1,410.6
33,61000.0,bachelors,3,150.7
47,102000.0,PhD,0,320.9
26,47000.0,High School,5,75.6
52,128000.0,Master's,2,280.7
20,38000.0,High School,7,55.7
54,123000.0,PhD,1,380.7
37,75000.0,bachelors,4,110.6
40,90000.0,Master's,6,120.7
57,132000.0,PhD,2,480.7
19,28000.0,High School,8,50.5
61,140000.0,Master's,1,440.9
32,69000.0,bachelors,3,160.9
46,99000.0,PhD,0,330.7
25,57000.0,High School,5,96.2
53,123000.0,Master's,2,370.7
22,42000.0,High School,7,61.2
48,116000.0,PhD,1,350.7
39,76000.0,bachelors,4,120.1
41,95000.0,Master's,6,140.9
56,129000.0,PhD,2,470.5
18,36000.0,High School,8,55.9
65,144000.0,Master's,1,400.8
31,67000.0,bachelors,3,130.5
44,98000.0,PhD,0,490.7
27,50000.0,High School,5,70.8
52,124000.0,Master's,2,290.7
20,34000.0,High School,7,56.0
55,118000.0,PhD,1,360.8
38,72000.0,bachelors,4,100.8
42,90000.0,Master's,6,130.3
58,149000.0,PhD,2,460.5
21,39000.0,High School,8,66.0
63,143000.0,Master's,1,420.8
34,62000.0,bachelors,3,160.5
45,107000.0,PhD,0,310.6
24,56000.0,High School,5,96.3
51,121000.0,Master's,2,380.9
23,44000.0,High School,7,61.3
50,117000.0,PhD,1,370.9
36,81000.0,bachelors,4,120.0
43,97000.0,Master's,6,140.7
59,147000.0,PhD,2,450.6
18,32000.0,High School,8,55.7
62,149000.0,Master's,1,410.7
33,60000.0,bachelors,3,150.8
47,103000.0,PhD,0,320.7
26,48000.0,High School,5,75.7
52,129000.0,Master's,2,280.8
20,37000.0,High School,7,55.8
54,124000.0,PhD,1,380.6
37,74000.0,bachelors,4,110.5
40,89000.0,Master's,6,120.6
57,133000.0,PhD,2,480.6
